-3.6646190707743704	-3.5680451086762246
-3.6014179002793356	-3.563465555486756
-3.5354258537520495	-3.5571942843468634	-3.5052030853845286
-3.4728260714900556	-3.5493683535719804	-3.4963849030067977
-3.4157624162700384	-3.54014608322211	-3.486317134834693
-3.3644803605467124	-3.529656523109199	-3.47521590573349
-3.318748695950776	-3.518030399941261	-3.463256270283455
-3.277799003852224	-3.5053857812380045	-3.4505839894518973
-3.24106860914148	-3.4918394092839495	-3.4373186150237958
-3.2080088217882645	-3.4775152149896753	-3.4235578795448625
-3.1781591553274358	-3.462496607079031	-3.4093953889959736
-3.1510570998858403	-3.4469676695364155	-3.3949357349124045
-3.1263664703743843	-3.4309964473485817	-3.380193356542757
-3.1038488006836364	-3.4145213446503493	-3.3652528415532035
-3.0833592148497417	-3.398081418167188	-3.3502596085588263
-3.0648281257290044	-3.3816702763791366	-3.335198331807361
-3.0482565299519617	-3.365221620177414	-3.320071438284866
-3.0336669404688825	-3.3488572839779374	-3.3049421535291605
-3.0210844886452066	-3.332733087231166	-3.28988207656469
-3.0105085696361975	-3.316825620965427	-3.2749037747833816
-3.0019098548341367	-3.3011737196039874	-3.260011873856466
-2.995185220842712	-3.2857701255696297	-3.2452130566278283
-2.990151112773425	-3.2706102924961002	-3.230506370987714
-2.9865691949689106	-3.255674868504441	-3.215828890559844
-2.9839274955672486	-3.240936528918732	-3.201307969198455
-2.981590715228193	-3.226309762916652	-3.186813409414366
-2.9788557190143483	-3.2118943861907816	-3.1723032845279264
-2.9750778939198255	-3.197551930871037	-3.1577351542742984
-2.9695726360804975	-3.1832359081750927	-3.143085912090242
-2.962068650963558	-3.168902005900231	-3.1282983595322094
-2.952461730722094	-3.1545280303290686	-3.1133924087078473
-2.9409625728786573	-3.1400649805664176	-3.098334312252608
-2.9279976631288034	-3.125530216865089	-3.083139100979338
-2.9141054367112327	-3.1108883671259835	-3.067817071436269
-2.8998354284268637	-3.096139369449534	-3.052381313166729
-2.885662254609441	-3.081285436611325	-3.036850766249303
-2.8720017957922614	-3.066318946906057	-3.021243328636447
-2.85910544278268	-3.051245908796941	-3.0055753748767478
-2.8471425357294433	-3.0360713490128117	-2.989861215953347
-2.836177485000202	-3.020802132573769	-2.9741055454229643
-2.8261966356348323	-3.0054470486244043	-2.9583255807244946
-2.8171037552747094	-2.990017300497134	-2.942530748513622
-2.8087506827363864	-2.9745274162780704	-2.9267337387145287
-2.80093621751776	-2.958987457084908	-2.9109456200472104
-2.793441006273484	-2.943425470995403	-2.8951766855408003
-2.7860433452316795	-2.927872234750408	-2.8794585510746322
-2.7785459369337517	-2.9123698029950047	-2.8638203252154266
-2.7707967383689573	-2.8969458276593727	-2.8482797149285974
-2.7627032807886414	-2.881640007471142	-2.8328557430487558
-2.7542261540785375	-2.8664780102878655	-2.8175717720424647
-2.7453826660250877	-2.8514621082761007	-2.802441969371967
-2.7362190583299695	-2.836634549588622	-2.787501239815902
-2.726795870587485	-2.8220327723031717	-2.772732951972493
-2.717190777861852	-2.807643069581873	-2.7581851655911565
-2.707445288040021	-2.7934367358003986	-2.7438499303130923
-2.6976540091023424	-2.7794520135431084	-2.7297393505509997
-2.6878120877551384	-2.765715381228418	-2.7158382272025423
-2.6779653047169822	-2.752221251695829	-2.7021767832823613
-2.6681197968803763	-2.7389771447250273	-2.6887606866430414
-2.658290906394706	-2.7259898419838233	-2.6755940845965944
-2.6484573049178852	-2.7132652695983395	-2.662666227608997
-2.6386218273694944	-2.700826902422535	-2.650014350319738
-2.6287898837507218	-2.6886612352468884	-2.637625554784218
-2.6189748020911314	-2.6767744943042913	-2.6255098346680654
-2.6091893279849474	-2.6651578959099083	-2.6136821949305196
-2.599402652452994	-2.6538361230408416	-2.602134494823096
-2.5896798525585547	-2.6428180560540344	-2.5909061929593693
-2.5800243279671684	-2.6321027444728378	-2.579990422618402
-2.5704516877849803	-2.621702956541596	-2.5694041482671186
-2.5609645235798557	-2.611607520082742	-2.5591459703227897
-2.5515861267019027	-2.6018256337652312	-2.5492155075807372
-2.5423499368225366	-2.592360564160725	-2.539578706934264
-2.5332141038201965	-2.5832011273624564	-2.53024902702225
-2.5242149400064897	-2.5743228504092834	-2.5212247975986255
-2.5153562400914695	-2.5657276806521248	-2.512473467483129
-2.506532822412283	-2.5574027247453244	-2.5039876955715568
-2.497828520078464	-2.549340275066514	-2.495755453898956
-2.4892502829390417	-2.5415564419126038	-2.487791583167161
-2.480739916596812	-2.5339842071412177	-2.480068181236875
-2.472283964627428	-2.5266238122474705	-2.4725559257543317
-2.4638924882574096	-2.519485039629682	-2.4652799058818173
-2.455558011819653	-2.512551238937592	-2.458233286308426
-2.447242365751996	-2.505829808285462	-2.451388709426793
-2.4389463797734714	-2.499319853343171	-2.4447127445354657
-2.43069178881262	-2.49299037017077	-2.4382339019925077
-2.4224997637818073	-2.486815688894272	-2.431924314682362
-2.414388167921582	-2.4807623261638945	-2.4257387446513596
-2.4063881352544265	-2.4747902048827046	-2.419665326199117
-2.3985386505434834	-2.468927629622797	-2.413663073086759
-2.3908259081348766	-2.463135188123615	-2.4077576624011447
-2.383271069794352	-2.4574421017795856	-2.401978432332966
-2.375856679937787	-2.451814207245594	-2.3962794403701526
-2.368618000089008	-2.446248595619342	-2.3906522887064807
-2.3615408861564564	-2.4407302409862437	-2.385087861233661
-2.354428332024383	-2.435260008954598	-2.379594853829991
-2.3478134830322963	-2.429807642576353	-2.374145916063335
-2.341439119689788	-2.42439484043543	-2.3687443395463053
-2.3351200285833995	-2.4190258734396495	-2.363363386322121
-2.3286528162991136	-2.413675457621715	-2.358003441075809
-2.322552734762893	-2.4083418021343266	-2.3526630107045023
